order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
1,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Research,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Review common dealer CSV inventory formats and column names.,"IngressRun.mappingJson, mock CSVs",Map aliases instead of custom import code per file.,"Alias list covers VIN, stock, price, miles, photos."
2,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Define staged import row shape for VIN bulk and CSV preview.,IngressRun.summaryJson or future InventoryDraft,Preview before commit.,"Row shape includes raw, normalized, errors, action."
3,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Decide first implementation storage: staged rows in IngressRun summaryJson, not new table unless needed.",IngressRun,Avoid migration until workflow proves itself.,Decision documented.
4,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add bulk VIN paste parser.,VIN validator,Reuse single VIN validation.,Parser returns valid/invalid/duplicate rows.
5,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add POST /inventory/automotive/bulk-vins/preview.,"VinDecoder, IngressRun",Shared API path.,Preview endpoint returns row statuses.
6,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add per-row decode using provider with safe concurrency limit.,VinDecoder service,Avoid provider hammering.,Preview decodes sample batch deterministically with mock.
7,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add duplicate detection by dealershipId + VIN and dealershipId + stockNumber if provided.,Vehicle,Prevent duplicate imports.,"Duplicate rows flagged, not created."
8,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add import preview UI table/cards for VIN, decoded title, status, warnings, action.",InventoryWorkspace Add/Import,Shared admin/dealer component.,Preview shows row-level errors clearly.
9,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add commit endpoint for selected staged rows.,"IngressRun, Vehicle creation",Commit is explicit.,Selected valid rows create/update vehicles.
10,Automotive VIN-First Onboarding,Bulk VIN / CSV VIN Import,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add commit summary: created, updated, skipped, failed, needs review, ready count, missing photos/price.","IngressRun summary, readiness builder",Show downstream value.,Summary renders after commit.
