order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
1,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Research,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Audit current VehicleMedia usage, kind values, sortOrder assumptions, image grids, marketplace gallery exports.","VehicleMedia, marketplace gallery, catalog bridges",Avoid breaking existing image display.,Media usage map documented.
2,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Research,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Research auto shot naming standards from dealer listing practice: front, rear, quarter, sides, interior, odometer, VIN plate.",AutoShotGuide,Use common dealer language.,Initial auto slot list validated.
3,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define generic technical terms: MediaSlot, mediaSlotKey, mediaRole, StructuredShot, GalleryImage.",VehicleMedia model,Works beyond photos/autos.,Terminology doc exists.
4,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define user-facing terms: Shot Guide, Required Photos, Extra Gallery Photos.",Inventory UI,Auto-friendly language without generic leakage.,UX copy terms approved.
5,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define MediaSlot fields: key, label, group, requiredLevel, sortOrder, aliases, platformMappings placeholder.",category-schemas mediaGuide,Central taxonomy instead of hardcoded slots.,Type added to category schema package.
6,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Define media roles: STRUCTURED_SHOT and GALLERY_IMAGE.,VehicleMedia.kind or new field,Separate expected slots from messy extras.,Role enum/string plan documented.
7,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define auto groups: exterior, interior, mechanical, detail, documents, damage, misc.",AutoShotGuide,Order capture grid cleanly.,Auto guide grouped.
8,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add AutoShotGuide v1 to category-schemas.,category-schemas package,Shared server/web media guide.,Guide exports and compiles.
9,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add core auto slots: front, rear, front-quarter, rear-quarter, driver-side, passenger-side.",AutoShotGuide,Exterior required/recommended base.,Slot tests verify keys/order.
10,Structured Media / Shot Guide,MediaSlot + ShotGuide Taxonomy,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add interior slots: driver-interior, passenger-interior, dashboard, odometer, front-seats, backseat, trunk-cargo.",AutoShotGuide,Auto-first capture coverage.,Interior slots present.
