order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
1,Structured Media / Shot Guide,Media Readiness + Assignment UI,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define media readiness severity: blocking required slots, warning recommended slots, optional ignored.",Readiness DTO,Precise photo readiness.,Severity matrix documented.
2,Structured Media / Shot Guide,Media Readiness + Assignment UI,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Extend readiness builder to include missingMediaSlots from category media guide.,"Readiness service, category-schemas",Central media readiness.,Auto missing front/odometer returns blockers.
3,Structured Media / Shot Guide,Media Readiness + Assignment UI,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add media readiness to InventoryListItemDto summary.,Inventory DTO,Rows show specific missing shots.,Row can say Needs front + odometer.
4,Structured Media / Shot Guide,Media Readiness + Assignment UI,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add media readiness to InventoryDetailDto.,Inventory detail endpoint,Detail and grid share truth.,Detail returns media readiness object.
5,Structured Media / Shot Guide,Media Readiness + Assignment UI,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add assignment persistence fields to VehicleMedia if not already added: mediaSlotKey, mediaRole, assignedBy, confidence.",VehicleMedia migration,First real schema change for structured media.,Migration applies and existing rows remain valid.
6,Structured Media / Shot Guide,Media Readiness + Assignment UI,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Backfill existing media as GALLERY_IMAGE when mediaRole null in service/read DTO.,VehicleMedia service,No data migration required for display.,Existing photos show as gallery.
7,Structured Media / Shot Guide,Media Readiness + Assignment UI,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add PATCH media endpoint to assign/unassign mediaSlotKey.,Shared inventory API,Admin/dealer use same API.,Endpoint updates slot assignment.
8,Structured Media / Shot Guide,Media Readiness + Assignment UI,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Validate mediaSlotKey exists for item category before saving.,MediaGuide helper,Prevent invalid slot keys.,Invalid key returns 400.
9,Structured Media / Shot Guide,Media Readiness + Assignment UI,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add audit/update event when admin changes media slot assignment.,AdminAuditLog or VehicleUpdate,Trace admin edits.,Audit contains dealerId/itemId/slot key only.
10,Structured Media / Shot Guide,Media Readiness + Assignment UI,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add UI actions for assign, replace, clear slot, move to gallery.",MediaSlotGrid,Make grid useful.,Actions call API and refresh DTO.
11,Structured Media / Shot Guide,Media Readiness + Assignment UI,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add conflict behavior: assigning second image to same slot replaces or asks confirmation.,MediaSlotGrid,Avoid silent overwrites.,Confirmation or deterministic replace behavior exists.
12,Structured Media / Shot Guide,Media Readiness + Assignment UI,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add bulk auto-assign by filename alias placeholder if filenames contain slot aliases.,MediaSlot aliases,Light automation without AI.,photo_front.jpg can suggest Front.
13,Structured Media / Shot Guide,Media Readiness + Assignment UI,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add readiness refresh after media assignment.,InventoryWorkspace data hooks,Immediate feedback.,Missing slot disappears after assignment.
14,Structured Media / Shot Guide,Media Readiness + Assignment UI,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add migration/schema tests if project uses migration validation.,Prisma migrations,Protect deploy.,Migration included in test run.
15,Structured Media / Shot Guide,Media Readiness + Assignment UI,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add API tests for valid assignment, invalid slot, unassign, permissions.",Server route tests,Protect shared API.,All route cases pass.
16,Structured Media / Shot Guide,Media Readiness + Assignment UI,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add readiness tests for structured shot vs gallery fallback.,Readiness service tests,Gallery should not satisfy required slot unless policy says so.,Required front missing despite gallery images.
