order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
1,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define single VIN flow states: input, validating, decoded, duplicate, needs review, create shell, completed.","VinDecoder endpoint, InventoryWorkspace",State machine over ad-hoc booleans.,Flow state diagram exists.
2,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define AutoVinOnboardingDto: vin, decoded fields, duplicate vehicle, warnings, readiness preview.",Decode endpoint DTO,One response powers UI.,DTO sample documented.
3,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add VinEntryPanel in shared InventoryWorkspace Add/Import tab.,InventoryWorkspace shell,Used by admin and dealer contexts.,Panel renders in both contexts.
4,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add client-side VIN normalization/format feedback.,Shared validator if browser-safe,Fast user feedback.,Invalid characters flagged before submit.
5,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Connect VinEntryPanel to decode endpoint.,Generated SDK hook,Typed API integration.,Known VIN displays decoded fields.
6,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Show decoded vehicle summary card with confidence/warnings.,Existing card/badge styles,Transparent enrichment quality.,Decoded fields show year/make/model/body/fuel.
7,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Show duplicate vehicle warning with link to existing inventory item.,Vehicle lookup from decode response,Prevent duplicate creation.,Existing VIN path links to row/detail.
8,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add create vehicle shell endpoint from decoded VIN.,"Vehicle model, readiness service",Server owns creation.,Endpoint creates minimal vehicle with decoded fields.
9,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define shell defaults: stockNumber required strategy, price/mileage placeholders, condition default or review-required.",Vehicle required fields,Avoid fake production data.,Created shell has honest missing readiness.
10,Automotive VIN-First Onboarding,Single VIN Onboarding Flow,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add confirm/create step with editable stock number and key decoded fields.,VinEntryPanel,User confirms before commit.,User can correct trim/color if absent.
