order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
1,Shared Inventory Foundation,Inventory Schema Contract,Research,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Audit Vehicle fields, categoryPayload, category-schemas, InventorySource, IngressRun, and publishing dependencies.","Vehicle, category-schemas, InventorySource, IngressRun, SyncEvent",Document current vehicle-only assumptions before writing code.,Audit doc lists vehicle-only assumptions and reusable seams.
2,Shared Inventory Foundation,Inventory Schema Contract,Research,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Inventory categories: map existing BusinessCategory values to expected primary identifiers and minimal readiness fields.,"BusinessCategory enum, category-schemas package",Use one schema map instead of per-component conditionals.,Every category has identifier/readiness/display notes.
3,Shared Inventory Foundation,Inventory Schema Contract,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define CategoryInventorySchema with primaryIdentifier, displayFields, importFields, attributeGroups, readinessRules, mediaGuide.",category-schemas package,Add typed contract with tests instead of ad-hoc JSON.,Schema type compiles and sample automotive schema validates.
4,Shared Inventory Foundation,Inventory Schema Contract,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Set automotive as first-class schema: VIN, stock number, year/make/model/trim, price, mileage, condition, availability, photos.","Vehicle model, VehicleMedia",Keep auto fields aligned to existing Vehicle table.,Auto schema maps cleanly to existing Vehicle fields.
5,Shared Inventory Foundation,Inventory Schema Contract,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Define generic fallback schema for non-auto verticals without pretending they are vehicles.,"BusinessCategory enum, categoryPayload",Use categoryPayload for non-auto attributes where committed model is not ready.,Non-auto schema can render display fields without Vehicle-only labels.
6,Shared Inventory Foundation,Inventory Schema Contract,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define inventory identifier rules: VIN for auto, HIN/serial for boats, SKU for retail, address for real estate.","categoryPayload, Vehicle.stockNumber",Centralize identifier language in schema.,UI can ask schema for primary identifier label.
7,Shared Inventory Foundation,Inventory Schema Contract,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define readiness result shape: status, severity, missingFields, invalidFields, missingMediaSlots, blockers, nextAction.","ReadinessRun patterns, platform validation patterns",One readiness DTO reused by API and UI.,Readiness object supports auto and at least two non-auto examples.
8,Shared Inventory Foundation,Inventory Schema Contract,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Separate inventoryStatus, readinessStatus, and publishingStatus in schema vocabulary.","Vehicle soldAt/removedAt, PublishQueueItem, SyncEvent",Prevent badge/status conflation.,Docs and DTO names keep the three states separate.
9,Shared Inventory Foundation,Inventory Schema Contract,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define category field metadata: label, type, requiredLevel, displayPriority, importAliases, validation.",setupFields pattern from platform profiles,Reuse field-definition pattern from platform setup fields.,Automotive field metadata drives labels and validation hints.
10,Shared Inventory Foundation,Inventory Schema Contract,Design,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define import alias map for common dealer CSV columns: VIN, stock, price, miles, photos.","InventorySource, IngressRun.mappingJson",Store mapping in existing ingress metadata.,Mock CSV aliases map to canonical fields.
11,Shared Inventory Foundation,Inventory Schema Contract,Design,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Define platform-readiness impact hooks so a category field can declare downstream publishing impact.,"SyncPolicy, PublishQueueItem, platform capability manifest",Create schema hooks instead of platform-specific React checks.,Price/status/photo changes can list affected platform types.
12,Shared Inventory Foundation,Inventory Schema Contract,Design,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Define category display presets for browse rows and detail headers.,Existing InventoryAssetList row-card patterns,Centralize row display config.,Auto and generic fallback row presets exist.
13,Shared Inventory Foundation,Inventory Schema Contract,Design,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Define schema versioning strategy for category schemas.,PlatformProfile.schemaVersion pattern,Version category schemas to prevent silent drift.,Schema version appears in readiness/debug output.
14,Shared Inventory Foundation,Inventory Schema Contract,Research,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Research NHTSA vPIC field coverage vs our automotive core fields.,Future VinDecoder interface,Keep VIN provider output normalized and optional.,Field coverage matrix exists.
15,Shared Inventory Foundation,Inventory Schema Contract,Research,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Research common auto marketplace image requirements and translate them into internal media slots.,"VehicleMedia, future MediaSlot",Internal taxonomy stays richer than platform exports.,Shot guide requirements are platform-agnostic.
16,Shared Inventory Foundation,Inventory Schema Contract,Design,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define field confidence/source metadata: user, vin_decode, csv, admin_override, dealer_override.","IngressRun.summaryJson, AdminAuditLog",Enable traceable data provenance.,DTO includes fieldSource map.
17,Shared Inventory Foundation,Inventory Schema Contract,Design,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define migration stance: keep Vehicle as committed auto table, use categoryPayload/drafts for vertical flexibility.","Vehicle, categoryPayload",Avoid premature generic InventoryItem migration.,Decision documented with follow-up trigger criteria.
18,Shared Inventory Foundation,Inventory Schema Contract,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add contract tests for category schema required fields and display presets.,category-schemas test setup,Prevent schema regressions as categories grow.,Tests fail if auto schema loses VIN or media guide.
19,Shared Inventory Foundation,Inventory Schema Contract,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add readiness fixture tests for auto, boats, apparel/jewelry style category.",Mock data fixtures,Ensure non-auto uses same contract.,Three category readiness fixtures pass.
20,Shared Inventory Foundation,Inventory Schema Contract,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add helper getCategoryInventorySchema(category).,category-schemas package exports,Single import path for server and web.,Server and web consume same helper.
21,Shared Inventory Foundation,Inventory Schema Contract,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add helper getPrimaryIdentifierLabel(category).,Category schema map,Remove UI hardcoded VIN/SKU labels.,Auto returns VIN; boat returns HIN/serial.
22,Shared Inventory Foundation,Inventory Schema Contract,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add helper getRequiredReadinessFields(category).,Category schema map,Avoid duplicated field lists.,Readiness API can call helper.
23,Shared Inventory Foundation,Inventory Schema Contract,Documentation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Write short ADR: auto-first but category-aware inventory schema.,"task.md, walkthrough.md",Record design rationale.,ADR checked into docs/backlog.
24,Shared Inventory Foundation,Inventory Schema Contract,Documentation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Update developer notes: no new inventory UI should hardcode vehicle-only assumptions without schema helper.,README/developer docs,Guide future agents away from duplication.,Docs include do/don't examples.
25,Shared Inventory Foundation,Inventory Schema Contract,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Run drift check for hardcoded make/model/VIN labels outside auto-specific components.,"Search, existing web components",Create cleanup backlog only; avoid unrelated rewrites.,List of candidate cleanup files exists.
