order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
1,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Research,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Audit current InventoryPage, AdminDealerPage links, DealerPicker routes, and PageShell behavior.",apps/web pages and route parser,Reuse existing navigation/chrome.,Component/routing map documented.
2,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define InventoryWorkspace props: dealerId, entryContext, actorRole, initialTab, returnHref.",AdminDealerPage and dealer inventory route,One UI core for admin and dealer.,Props type supports admin and operator paths.
3,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define shared subcomponents: Browse, OnboardingLauncher, NeedsAttention, Sources, RecentlyChanged.","Existing InventoryAssetList, IngressPanel",Avoid creating admin-specific copies.,Component tree documented.
4,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Create InventoryWorkspace shell that wraps existing inventory content first.,Current InventoryPage,Strangler pattern instead of rewrite.,Current inventory screen still works.
5,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Route admin quick nav inventory to shared InventoryWorkspace with admin context.,AdminDealerPage quick nav,Admin and dealer reuse same module.,Admin inventory nav lands on same workspace with admin chrome.
6,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Route dealer inventory page to shared InventoryWorkspace with dealer context.,Existing dealer route,No duplicate screens.,Dealer route renders same component tree.
7,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add context-aware header: admin shows dealer identity/back to admin dealer; dealer shows normal org controls.,"PageShell, AdminDealerPage",Keep chrome differences outside core UI.,Header changes based on entryContext only.
8,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add tab shell: Browse, Add/Import, Needs Attention, Sources, Recently Changed, Sold/Removed.",Existing tab/button styles,Use same tab component style as admin pages.,Tabs render without data loss.
9,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Move inventory filters into reusable InventoryFilterBar.,Current filters/search controls,Avoid duplicated filter logic.,Browse and Needs Attention can reuse filter state.
10,Shared Inventory Foundation,Shared InventoryWorkspace UI Shell,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Move row rendering into category-aware InventoryRowCard wrapper.,InventoryAssetList row card,"Auto-first fields, generic fallback.",Seeded auto rows match existing info plus new summary placeholders.
