order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
1,Shared Inventory Foundation,Shared Inventory API + DTOs,Research,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Audit existing inventory endpoints and response shapes used by admin/dealer pages.,"Inventory routes, SDK, apps/web inventory hooks",Reuse current routes where possible.,Endpoint inventory map documented.
2,Shared Inventory Foundation,Shared Inventory API + DTOs,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Define shared route namespace /api/dealers/:dealerId/inventory for admin and dealer contexts.,Existing dealer-scoped route guards,"One API surface, role-based authorization.",Route plan avoids /admin duplicate inventory APIs.
3,Shared Inventory Foundation,Shared Inventory API + DTOs,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define InventoryListItemDto with category, display title, identifiers, status, readiness, publishing summary, media preview.","Vehicle, VehicleMedia, PublishQueueItem, SyncEvent",Backend computes summary; React renders only.,DTO supports auto row and generic fallback.
4,Shared Inventory Foundation,Shared Inventory API + DTOs,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define InventoryDetailDto with core fields, category attributes, media slots, readiness, publishing impact, history summary.","Vehicle, categoryPayload, VehicleMedia, SyncEvent",Unify detail/edit input across contexts.,Detail DTO documented and sample generated.
5,Shared Inventory Foundation,Shared Inventory API + DTOs,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define InventoryDistributionSummary DTO: ready/live/queued/failed/blocked counts, lastSync, nextAction.","PlatformAccount, PublishQueueItem, SyncEvent, MarketplaceListing, SocialPost",Avoid frontend recomputing pipeline state.,Summary can be built for seeded vehicles.
6,Shared Inventory Foundation,Shared Inventory API + DTOs,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define InventoryReadinessDto: category status, missing fields, missing media slots, invalid values, platform blockers.","Category schema, PlatformAccount",Reusable readiness response for browse/detail/import.,DTO handles missing VIN and missing photos distinctly.
7,Shared Inventory Foundation,Shared Inventory API + DTOs,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Define InventoryPublishingImpactDto for proposed edits.,"SyncPolicy, PublishQueueItem, platform capability manifest",One service predicts downstream impact.,Price/status/photo edit returns affected platforms.
8,Shared Inventory Foundation,Shared Inventory API + DTOs,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add inventory service skeleton with listInventoryForDealer(dealerId, filters).","Vehicle, VehicleMedia, performance caches",Centralize inventory query logic.,Service returns seeded vehicles with summaries.
9,Shared Inventory Foundation,Shared Inventory API + DTOs,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add distribution summary builder service.,"PublishQueueItem, SyncEvent, PlatformAccount, MarketplaceListing",Encapsulate publishing logic outside UI.,Unit tests cover live/queued/failed/blocked counts.
10,Shared Inventory Foundation,Shared Inventory API + DTOs,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add readiness builder service using category schemas.,"category-schemas, Vehicle, VehicleMedia",One readiness path for browse and detail.,"Unit tests for ready, missing price, missing shot."
11,Shared Inventory Foundation,Shared Inventory API + DTOs,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add GET /api/dealers/:dealerId/inventory list endpoint.,Existing auth/dealer guards,Reuse route guard patterns.,Endpoint returns list DTO for seeded dealer.
12,Shared Inventory Foundation,Shared Inventory API + DTOs,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add GET /api/dealers/:dealerId/inventory/:itemId detail endpoint.,Existing Vehicle relations,Do not add admin duplicate endpoint.,Admin and operator can fetch same DTO with permissions.
13,Shared Inventory Foundation,Shared Inventory API + DTOs,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add GET readiness endpoint only if detail/list payload becomes too heavy.,InventoryReadinessDto builder,Avoid premature route sprawl.,Decision documented in route comments.
14,Shared Inventory Foundation,Shared Inventory API + DTOs,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add GET publishing-impact endpoint for proposed edits.,SyncPolicy and platform capability manifest,Future edit UI can preview queue impact.,Endpoint accepts patch payload and returns impact summary.
