order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
1,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Research,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Audit publishing models and UI: SyncPolicy, PublishQueueItem, SyncRun, SyncEvent, PlatformAccount, PlatformOAuthToken, CatalogSync, MarketplaceListing, SocialPost.",Existing publishing pipeline,Reuse pipeline; do not invent new statuses.,Model-to-summary map documented.
2,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Define InventoryDistributionSummary algorithm and status precedence.,Existing queue/account/listing statuses,Consistent row/detail summaries.,Precedence rules documented.
3,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define nextAction ranking: readiness fix, credentials, approval, failed publish, stale sync, performance review.",Admin triage patterns,"One action per row, highest value first.",Ranking table exists.
4,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Build distribution summary service for a single inventory item.,"PublishQueueItem, PlatformAccount, SyncEvent, MarketplaceListing, SocialPost",Backend computes truth.,Tests produce live/queued/blocked counts.
5,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Build batch summary loader for inventory list to avoid N+1 queries.,Prisma include/group queries,Performance conscious.,List endpoint loads summaries efficiently.
6,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Compute platform eligibility from platform capabilities and category readiness.,"platformCapabilityManifest, category schema",Category-aware publishing.,Auto item counts only relevant platforms.
7,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Compute blocked count from PlatformAccount state and OAuth token state.,"PlatformAccount, PlatformOAuthToken",Surface real blockers.,Credentials needed appears as blocker.
8,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Compute queue state from PublishQueueItem statuses.,PublishQueueItem,Reuse publish pipeline.,READY/NEEDS_APPROVAL/FAILED/HELD map correctly.
9,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Compute live state from MarketplaceListing, SocialPost, CatalogSync/last sync where available.","MarketplaceListing, SocialPost, PlatformCatalogSync",Use existing evidence.,eBay active and social posts count live.
10,Inventory Operations + Publishing Impact,Publishing Impact + Pipeline Summary,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Compute last sync event from SyncEvent and SyncRun.,"SyncEvent, SyncRun",Rows show latest activity.,Latest event displays timestamp and label.
