order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
1,Inventory Operations + Publishing Impact,Inventory Browse v1,Research,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Audit current inventory browse row, filters, pagination, ingress panel, publishing summary usage.","InventoryPage, InventoryAssetList, IngressPanel",Reuse working UI pieces.,Audit notes identify components to keep/move.
2,Inventory Operations + Publishing Impact,Inventory Browse v1,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Define InventoryRowCard auto-first layout with generic fallback.,"InventoryListItemDto, category schema display presets",One row shell across categories.,Layout spec covers auto and fallback.
3,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Switch browse to InventoryListItemDto endpoint when available.,"Generated SDK, InventoryWorkspace hook",Backend-computed summaries.,Browse renders DTO rows.
4,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Display auto fields: hero photo, year/make/model/trim, VIN, stock, price, mileage, condition, status.","Vehicle fields, media hero helper",Auto-first display.,Seeded auto rows show all core fields.
5,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Display separate badges for inventory status, readiness, publishing state.",InventoryDistributionSummary,Avoid status conflation.,Three badge groups visible.
6,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Display platform coverage counts: live, queued, failed, blocked.",Distribution summary builder,Cross-pollinate publishing pipeline.,Rows show counts from seeded pipeline data.
7,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Display last sync event and next recommended action.,"SyncEvent, PublishQueueItem, PlatformAccount",Operations board behavior.,Rows show last event/next action.
8,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add filters: search, category, inventory status, readiness, missing data, source, sync state, price range, age.",Inventory list API filter parser,Shared filters across contexts.,Filter state updates query/API.
9,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add auto filters: make, model, year, mileage, VIN decoded state.",Category schema auto fields,Auto-first no exception.,Auto filters appear for automotive.
10,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add sort: recently updated, price, age, readiness severity, publishing issues.",Inventory API sort,Find problem inventory fast.,Sort controls reorder rows.
11,Inventory Operations + Publishing Impact,Inventory Browse v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add Needs Attention quick filter group.,Readiness + queue blockers,Pipeline-driven triage.,Clicking filter shows problematic rows.
