id,area,priority,instruction,expected_output,constraints
ADR-001,Architecture Boundary,P0,"Map every app, package, and server route to one product surface: operator web, marketplace, splash, shared sync engine, or shared package.",Boundary map plus violations list.,Do not move files; report only.
ADR-002,Architecture Boundary,P0,Find imports that cross product boundaries and classify each as allowed shared infrastructure or forbidden coupling.,Import audit with proposed fixes.,Do not allow apps/marketplace to import operator SDK or src internals.
ADR-003,Architecture Boundary,P0,Verify apps/web uses only the operator SDK for operator HTTP calls and does not call marketplace-only APIs.,Operator API usage report.,No raw fetch additions; prefer generated SDK wrappers.
ADR-004,Architecture Boundary,P0,Verify apps/marketplace uses only the marketplace SDK and local files.,Marketplace boundary report.,"No @auto-dealer/api-client, apps/web, src/server, src/services, or Prisma imports."
ADR-005,Architecture Boundary,P0,"Verify apps/splash has no backend, auth, Prisma, OpenAPI, or product-app imports.",Splash isolation report.,Splash should be static marketing UI only.
ADR-006,Architecture Boundary,P1,Identify files whose names or exports still imply auto-only ownership but actually serve generic channel operations.,Rename/refactor candidate list.,Do not rename without separate approval.
ADR-007,Architecture Boundary,P1,Check whether shared packages have clean public exports and no hidden app-specific imports.,Package export audit.,Shared packages must not import apps/*.
ADR-008,Architecture Boundary,P1,"Create a route ownership table for operator, marketplace, public-write, auth, and dev-only routes.",Route table with classification mismatches.,Compare with OpenAPI classification.
ADR-009,Architecture Boundary,P1,Find duplicated boundary check logic and propose a single root verify command structure.,Verify command cleanup proposal.,Preserve existing scripts until replacement is tested.
ADR-010,Business Categories,P0,"Audit every visible string in reusable operator shell components for hardcoded vehicle, dealer, VIN, stock number, listing site, or car language.",Copy boundary violation list.,Do not flag vehicle-specific detail panels.
ADR-011,Business Categories,P0,Validate that each registered business category resolves through the category schema registry without crashing.,Resolution test plan and missing categories.,Vehicles remain the first polished active mode.
ADR-012,Business Categories,P0,Verify businessCategory is loaded from the active organization/dealership and not from the user account.,Data-flow report.,One category per organization for v1.
