order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
1,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Research,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Audit existing vehicle edit/detail capabilities and marketplace vehicle detail components.,"Inventory UI, marketplace detail",Reuse display/edit patterns.,Audit notes list reusable components.
2,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Define detail route shared by admin/dealer context.,"Routes, InventoryWorkspace",One detail screen.,Route plan supports both contexts.
3,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define tabs: Overview, Details, Media, Readiness, Publishing, History, Performance.",InventoryDetailDto,Make inventory operational.,Tab list approved.
4,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Create InventoryDetailPage or detail drawer using InventoryDetailDto.,"Generated SDK, InventoryWorkspaceContext",Shared data contract.,Seeded vehicle detail loads.
5,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Render auto overview header with hero, title, VIN, stock, price, mileage, status.",Vehicle fields/media hero,Auto-first detail.,Header matches browse row.
6,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Render core details form for auto fields.,Category schema field metadata,Form generated from schema where practical.,Fields show labels/values.
7,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Render category attributes section for categoryPayload and non-core fields.,"categoryPayload, schema attributeGroups",Vertical-safe extension.,Unknown attrs do not crash.
8,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Render Media tab with MediaSlotGrid.,MediaSlotGrid,Reuse structured media system.,Assigned/missing shots visible.
9,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Render Readiness tab with missing fields/media/platform blockers.,Readiness DTO,No duplicated React logic.,Readiness matches browse badge.
10,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Render Publishing tab with per-platform state table.,"Distribution summary, PlatformAccount, PublishQueueItem, SyncEvent",Pipeline cross-pollination.,Rows show account/readiness/queue/last sync.
11,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Render History tab combining VehicleUpdate, lifecycle events, queue, sync events.","VehicleUpdate, VehicleLifecycleEvent, SyncEvent",One timeline for inventory ops.,History contains seeded events.
12,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Render Performance tab from performance cache/channel events/leads.,"VehiclePerformanceCache, ChannelEvent, Lead",Tie inventory to results.,Performance panel shows data or neutral state.
13,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add save/edit endpoint for safe fields: price, mileage, condition, colors, status, categoryPayload.",Vehicle update route/service,Centralize updates.,Patch updates vehicle and returns updated detail DTO.
14,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Record VehicleUpdate on meaningful edits.,VehicleUpdate model,Audit inventory changes.,Price change creates VehicleUpdate.
15,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Trigger publishing-impact preview before save or after field changes.,PublishingImpact service,User sees downstream effects.,Price/status/photo changes list affected platforms.
16,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"On save, enqueue publish queue items only according to existing SyncPolicy rules.","PublishQueueItem, SyncPolicy",Respect publishing pipeline.,Save summary lists queued/blocked updates.
17,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add detail route tests for permissions and not found.,Server/app route tests,Secure shared screen.,Admin/operator permissions enforced.
18,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add form rendering tests for auto detail.,apps/web tests,Protect UI.,Core fields render.
19,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add update service tests for price/status changes and queue impact.,Server service tests,Protect pipeline coupling.,VehicleUpdate and queue items created as expected.
20,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add history timeline tests with mixed event types.,Timeline helper tests,Avoid timeline duplication.,Events sort and label correctly.
21,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add dirty-state warning before navigation.,Form state,Prevent data loss.,Unsaved changes prompt appears.
22,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add validation errors inline using readiness/schema rules.,Readiness/schema validators,Consistent validation.,Missing/invalid fields highlight.
23,Inventory Operations + Publishing Impact,Inventory Edit / Detail v1,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add read-only mode for users without edit permission.,Permissions context,Shared UI safe.,Fields render read-only with hidden save.
