order,epic_group,work_epic,sprint_line_type,priority,goal_context,sprint_line,reuse_existing_systems,code_improvement,acceptance_signal
1,Structured Media / Shot Guide,Automotive Shot Grid v1,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Design mobile-first AutoShotGrid: required/recommended slots first, gallery extras below.",AutoShotGuide,Optimize in-house mobile capture.,Wireframe or component plan exists.
2,Structured Media / Shot Guide,Automotive Shot Grid v1,Design,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Define slot card states: missing, captured, warning, optional, gallery fallback available.",Media readiness DTO,Clear photo worklist.,State list documented.
3,Structured Media / Shot Guide,Automotive Shot Grid v1,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add MediaSlotGrid component driven by getMediaGuide(category).,category-schemas media guide,"Generic component, auto-first content.",Auto slots render from schema.
4,Structured Media / Shot Guide,Automotive Shot Grid v1,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add AutoShotGrid wrapper only for auto labels/help, not separate logic.",MediaSlotGrid,Avoid duplicate media system.,Wrapper passes auto guide into generic grid.
5,Structured Media / Shot Guide,Automotive Shot Grid v1,Implementation,P0,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Render existing VehicleMedia in slot grid using mediaSlotKey when present, gallery otherwise.",VehicleMedia,Backward-compatible display.,Unassigned images appear as Gallery Images.
6,Structured Media / Shot Guide,Automotive Shot Grid v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add temporary mapping from old sortOrder images to gallery role if no slot assigned.,VehicleMedia sortOrder,Existing inventory still displays.,Old media is not lost.
7,Structured Media / Shot Guide,Automotive Shot Grid v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add slot assignment UI action: assign image to slot.,VehicleMedia patch endpoint later or local state first,Manual cleanup first; AI later.,User can assign an image to Front.
8,Structured Media / Shot Guide,Automotive Shot Grid v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add unassign/move to gallery action.,MediaSlotGrid,Correct mistakes.,Assigned image can return to gallery.
9,Structured Media / Shot Guide,Automotive Shot Grid v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add reorder within gallery extras.,Existing sortOrder,Keep gallery usable.,Sort order updates locally/API if available.
10,Structured Media / Shot Guide,Automotive Shot Grid v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add missing slot prompts in grid header.,Readiness DTO,Clear work remaining.,"Header says Missing: front, odometer."
11,Structured Media / Shot Guide,Automotive Shot Grid v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add slot help text for auto capture guidance.,AutoShotGuide labels/help,Improve capture consistency.,Slot cards show short instructions.
12,Structured Media / Shot Guide,Automotive Shot Grid v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add hero image selection rule: prefer front-quarter, then front, then first gallery.",Media guide helper,Consistent row/storefront hero.,Hero helper returns expected image.
13,Structured Media / Shot Guide,Automotive Shot Grid v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add compact desktop grid and mobile stack behavior.,CSS/Tailwind patterns,Works for admin/dealer web and future mobile.,Grid readable at small width.
14,Structured Media / Shot Guide,Automotive Shot Grid v1,Implementation,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add media upload placeholder/dropzone per slot if upload endpoint exists; otherwise stub action.,Existing media upload if any,Avoid blocking taxonomy display.,Missing slot has Add photo CTA.
15,Structured Media / Shot Guide,Automotive Shot Grid v1,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add component tests for missing/captured/gallery states.,apps/web tests,Protect grid logic.,Slots render correct labels and states.
16,Structured Media / Shot Guide,Automotive Shot Grid v1,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add hero image selection tests.,Media helper tests,Avoid image ordering regressions.,Expected fallback chain passes.
17,Structured Media / Shot Guide,Automotive Shot Grid v1,Test,P1,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add no-media vehicle test.,VehicleMedia fixtures,Avoid crashes.,Grid renders all missing required slots.
18,Structured Media / Shot Guide,Automotive Shot Grid v1,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,"Add image quality warnings placeholder: low resolution, wrong aspect, duplicate likely.",Media metadata width/height,Future quality pipeline seam.,Warnings appear only if metadata supports it.
19,Structured Media / Shot Guide,Automotive Shot Grid v1,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add gallery fallback indicator: extra photo can publish but does not satisfy named slot.,MediaSlotGrid copy,Explain structured vs misc.,UI distinguishes fallback clearly.
20,Structured Media / Shot Guide,Automotive Shot Grid v1,Implementation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Add read-only admin/dealer permission behavior if user cannot edit media.,InventoryWorkspace permissions,Shared component respects role.,Read-only mode hides assignment CTAs.
21,Structured Media / Shot Guide,Automotive Shot Grid v1,Documentation,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Document mobile capture target order for auto.,Docs/design notes,Prepare mobile app later.,Docs list slot order and rationale.
22,Structured Media / Shot Guide,Automotive Shot Grid v1,Review,P2,Auto-first inventory onboarding/distribution; one shared admin+dealer system; category-aware vertical design; reuse existing pipeline.,Verify seeded vehicle images render in grid as gallery without slot data.,Seeded app,Backwards compatibility.,No images disappear.
